Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,0,0
0.071905700,0,0,0
0.198295600,1,0,0
0.324436600,0,0,0
0.450716400,1,0,0
0.576977300,0,0,0
0.703253600,1,0,0
0.829521400,0,0,0
0.955788600,1,0,0
1.082056700,0,0,0
1.208333500,1,0,0
1.334595500,0,0,0
1.460871000,1,0,0
1.587129200,0,0,0
1.713405300,1,0,0
1.839676700,0,0,0
1.965943500,1,0,0
2.092212600,0,0,0
2.218485100,1,0,0
2.344739600,0,0,0
2.471024100,1,0,0
2.597289700,0,0,0
2.723562800,1,0,0
2.849830000,0,0,0
2.976096700,1,0,0
3.102363200,0,0,0
3.228643700,1,0,0
3.354903100,0,0,0
3.481173200,1,0,0
3.607458300,0,0,0
3.733711900,1,0,0
3.859975000,0,0,0
3.986248900,1,0,0
4.112517200,0,0,0
4.238792000,1,0,0
4.365050500,0,0,0
4.491328000,1,0,0
4.617596700,0,0,0
4.743868900,1,0,0
4.870125400,0,0,0
4.996409400,1,0,0
5.011318400,1,0,0
